Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height
1,,,,,,node 1,-79.94912464,37.39844474,313.176
2,,,,,,node 2,-79.94911974,37.39846223,313.301
3,,,,,,node 3,-79.94911488,37.39847971,313.452
4,,,,,,node 4,-79.94910976,37.39849744,313.574
5,,,,,,node 5,-79.94910526,37.39851509,313.713
6,,,,,,node 6,-79.94910022,37.39853251,313.879
7,,,,,,node 7,-79.94909559,37.39855046,314.03
8,,,,,,node 8,-79.94909094,37.3985678,314.138
9,,,,,,node 9,-79.94908591,37.3985848,314.328
10,,,,,,node 10,-79.94908156,37.39860265,314.53
11,,,,,,node 11,-79.94907663,37.39862013,314.73
12,,,,,,node 12,-79.9490719,37.3986378,314.855
13,,,,,,node 13,-79.94906655,37.39865509,315.048
14,,,,,,node 14,-79.94906147,37.39867271,315.167
15,,,,,,node 15,-79.94905682,37.3986902,315.343
16,,,,,,node 16,-79.94905188,37.39870784,315.499
17,,,,,,node 17,-79.94904672,37.39872512,315.569
18,,,,,,node 18,-79.9490424,37.39874274,315.705
19,,,,,,node 19,-79.94903752,37.39876058,315.789
20,,,,,,node 20,-79.94903267,37.39877829,316.039
21,,,,,,node 21,-79.94902829,37.39879543,316.117
22,,,,,,node 22,-79.94902349,37.39881317,316.204
23,,,,,,node 23,-79.94901839,37.39883052,316.262
24,,,,,,node 24,-79.949014,37.39884832,316.244
25,,,,,,node 25,-79.94900817,37.39886566,316.273
26,,,,,,node 26,-79.94900342,37.39888356,316.084
27,,,,,,node 27,-79.94899902,37.39890127,316.015
28,,,,,,node 28,-79.94899353,37.39891828,316.176
29,,,,,,node 29,-79.94898833,37.39893629,316.305
30,,,,,,node 30,-79.9489838,37.39895327,316.435
31,,,,,,node 31,-79.94897912,37.3989708,316.87
32,,,,,,node 32,-79.94897418,37.39898788,317.426
33,,,,,,node 33,-79.94897039,37.39900576,317.754
34,,,,,,node 34,-79.94896645,37.39902339,318.048
35,,,,,,node 35,-79.94896136,37.39904057,318.309
36,,,,,,node 36,-79.94895552,37.39905757,318.375
37,,,,,,node 37,-79.94895104,37.39907514,318.801
38,,,,,,node 38,#NAME?,#NAME?,#NAME?
39,,,,,,node 39,-79.94894187,37.39911041,319.182
40,,,,,,node 40,,,
41,,,,,,node 41,-79.94893311,37.39914575,319.556
42,,,,,,node 42,-79.94892942,37.39916245,319.657
43,,,,,,node 43,#NAME?,#NAME?,#NAME?
44,,,,,,node 44,#NAME?,#NAME?,#NAME?
45,,,,,,node 45,,,
46,,,,,,node 46,#NAME?,#NAME?,#NAME?
47,,,,,,node 47,#NAME?,#NAME?,#NAME?
48,,,,,,node 48,#NAME?,#NAME?,#NAME?
49,,,,,,node 49,#NAME?,#NAME?,#NAME?
50,,,,,,node 50,#NAME?,#NAME?,#NAME?
51,,,,,,node 51,#NAME?,#NAME?,#NAME?
52,,,,,,node 52,#NAME?,#NAME?,#NAME?
53,,,,,,node 53,#NAME?,#NAME?,#NAME?
54,,,,,,node 54,#NAME?,#NAME?,#NAME?
55,,,,,,node 55,#NAME?,#NAME?,#NAME?
56,,,,,,node 56,#NAME?,#NAME?,#NAME?
57,,,,,,node 57,#NAME?,#NAME?,#NAME?
58,,,,,,node 58,,,
59,,,,,,node 59,#NAME?,#NAME?,#NAME?
60,,,,,,node 60,-79.94884721,37.39947983,321.69
61,,,,,,node 61,#NAME?,#NAME?,#NAME?
62,,,,,,node 62,,,
63,,,,,,node 63,#NAME?,#NAME?,#NAME?
64,,,,,,node 64,#NAME?,#NAME?,#NAME?
