Description,Easting,Northing,z,x
node 1,593013.9846,4139592.734,313.176,0
node 2,593014.3967,4139594.679,313.301,2
node 3,593014.8052,4139596.623,313.452,4
node 4,593015.2365,4139598.595,313.574,6
node 5,593015.613,4139600.558,313.713,8
node 6,593016.0376,4139602.495,313.879,10
node 7,593016.4252,4139604.491,314.03,12
node 8,593016.8154,4139606.42,314.138,14
node 9,593017.2396,4139608.311,314.328,16
node 10,593017.6026,4139610.296,314.53,18
node 11,593018.0173,4139612.24,314.73,20
node 12,593018.4141,4139614.205,314.855,22
node 13,593018.8663,4139616.128,315.048,24
node 14,593019.2942,4139618.088,315.167,26
node 15,593019.6842,4139620.033,315.343,28
node 16,593020.0996,4139621.995,315.499,30
node 17,593020.535,4139623.917,315.569,32
node 18,593020.8956,4139625.877,315.705,34
node 19,593021.3055,4139627.861,315.789,36
node 20,593021.7129,4139629.83,316.039,38
node 21,593022.0794,4139631.736,316.117,40
node 22,593022.4823,4139633.709,316.204,42
node 23,593022.9123,4139635.639,316.262,44
node 24,593023.2788,4139637.618,316.244,46
node 25,593023.7734,4139639.548,316.273,48
node 26,593024.1717,4139641.538,316.084,50
node 27,593024.5393,4139643.508,316.015,52
node 28,593025.0042,4139645.4,316.176,54
node 29,593025.4422,4139647.403,316.305,56
node 30,593025.8222,4139649.292,316.435,58
node 31,593026.2148,4139651.241,316.87,60
node 32,593026.6309,4139653.141,317.426,62
node 33,593026.9443,4139655.128,317.754,64
node 34,593027.2712,4139657.088,318.048,66
node 35,593027.7005,4139658.999,318.309,68
node 36,593028.1964,4139660.891,318.375,70
node 37,593028.5712,4139662.845,318.801,72
node 38,593028.9552,4139664.806,318.9915,74
node 39,593029.3393,4139666.767,319.182,76
node 40,593029.7051,4139668.732,319.369,78
node 41,593030.071,4139670.697,319.556,80
node 42,593030.3769,4139672.553,319.657,82
node 43,593030.7594,4139674.514,319.7699444,84
node 44,593031.1418,4139676.474,319.8828889,86
node 45,593031.5243,4139678.435,319.9958333,88
node 46,593031.9067,4139680.396,320.1087778,90
node 47,593032.2892,4139682.357,320.2217222,92
node 48,593032.6717,4139684.317,320.3346667,94
node 49,593033.0541,4139686.278,320.4476111,96
node 50,593033.4366,4139688.239,320.5605556,98
node 51,593033.819,4139690.199,320.6735,100
node 52,593034.2015,4139692.16,320.7864444,102
node 53,593034.5839,4139694.121,320.8993889,104
node 54,593034.9664,4139696.082,321.0123333,106
node 55,593035.3489,4139698.042,321.1252778,108
node 56,593035.7313,4139700.003,321.2382222,110
node 57,593036.1138,4139701.964,321.3511667,112
node 58,593036.4962,4139703.925,321.4641111,114
node 59,593036.8787,4139705.885,321.5770556,116
node 60,593037.2611,4139707.846,321.69,118
node 61,593037.6436,4139709.807,321.8029444,120
node 62,593038.0261,4139711.767,321.9158889,122
node 63,593038.4085,4139713.728,322.0288333,124
node 64,593038.791,4139715.689,322.1417778,126
