Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,water surface,-79.94890351,37.39840927,312.991,Global,0.006,0.007,0.008,0.009,2.134,m,FIX,RTK,2026-05-28 13:26:49.8 UTC-04:00,2026-05-28 13:26:59.8 UTC-04:00,51,1.0,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,6.888,,WGS 84 / UTM zone 17N,8,7,8,3,0,Reach RS2+,82438197435961DD
2,,,,,,water surface,-79.94902841,37.39836859,312.984,Global,0.005,0.007,0.008,0.009,2.134,m,FIX,RTK,2026-05-28 13:27:50.6 UTC-04:00,2026-05-28 13:28:00.6 UTC-04:00,51,1.0,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,8.356,,WGS 84 / UTM zone 17N,8,7,8,5,0,Reach RS2+,82438197435961DD
3,,,,,,node 1,-79.94912464,37.39844474,313.176,Global,0.006,0.005,0.008,0.008,2.134,m,FIX,RTK,2026-05-28 13:29:19.8 UTC-04:00,2026-05-28 13:29:29.8 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.282,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
4,,,,,,node 2,-79.94911974,37.39846223,313.301,Global,0.005,0.005,0.008,0.006,2.134,m,FIX,RTK,2026-05-28 13:30:09.8 UTC-04:00,2026-05-28 13:30:19.8 UTC-04:00,51,1.1,1.3,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.236,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
5,,,,,,node 3,-79.94911488,37.39847971,313.452,Global,0.005,0.005,0.008,0.007,2.134,m,FIX,RTK,2026-05-28 13:30:48.6 UTC-04:00,2026-05-28 13:30:58.6 UTC-04:00,51,1.1,1.3,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.472,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
6,,,,,,node 4,-79.94910976,37.39849744,313.574,Global,0.009,0.005,0.008,0.010,2.134,m,FIX,RTK,2026-05-28 13:31:31.2 UTC-04:00,2026-05-28 13:31:41.2 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.990,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
7,,,,,,node pt name +2,-79.94910526,37.39851509,313.713,Global,0.005,0.008,0.008,0.009,2.134,m,FIX,RTK,2026-05-28 13:32:31.6 UTC-04:00,2026-05-28 13:32:41.6 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,14.821,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
8,,,,,,node pt name +2,-79.94910022,37.39853251,313.879,Global,0.005,0.006,0.009,0.008,2.134,m,FIX,RTK,2026-05-28 13:33:07.4 UTC-04:00,2026-05-28 13:33:17.4 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,15.789,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
9,,,,,,node pt name -2 (7),-79.94909559,37.39855046,314.030,Global,0.010,0.006,0.009,0.012,2.134,m,FIX,RTK,2026-05-28 13:34:57.2 UTC-04:00,2026-05-28 13:35:07.2 UTC-04:00,51,1.3,1.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,17.008,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
10,,,,,,node pt name -2,-79.94909094,37.39856780,314.138,Global,0.007,0.006,0.010,0.009,2.134,m,FIX,RTK,2026-05-28 13:35:31.2 UTC-04:00,2026-05-28 13:35:41.2 UTC-04:00,50,1.2,1.4,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,18.313,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
11,,,,,,node pt name -2,-79.94908591,37.39858480,314.328,Global,0.014,0.007,0.010,0.015,2.134,m,FIX,RTK,2026-05-28 13:36:15.8 UTC-04:00,2026-05-28 13:36:25.8 UTC-04:00,51,1.4,1.6,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,19.718,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
12,,,,,,node pt name -2,-79.94908156,37.39860265,314.530,Global,0.007,0.007,0.011,0.010,2.134,m,FIX,RTK,2026-05-28 13:37:13.4 UTC-04:00,2026-05-28 13:37:23.4 UTC-04:00,51,1.4,1.6,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,21.261,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
13,,,,,,node pt name -2,-79.94907663,37.39862013,314.730,Global,0.005,0.005,0.011,0.007,2.134,m,FIX,RTK,2026-05-28 13:37:46.4 UTC-04:00,2026-05-28 13:37:56.4 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,22.863,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
14,,,,,,node pt name -2,-79.94907190,37.39863780,314.855,Global,0.005,0.006,0.011,0.008,2.134,m,FIX,RTK,2026-05-28 13:38:18.0 UTC-04:00,2026-05-28 13:38:28.0 UTC-04:00,51,1.3,1.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,24.526,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
15,,,,,,node pt name -2,-79.94906655,37.39865509,315.048,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,RTK,2026-05-28 13:38:54.0 UTC-04:00,2026-05-28 13:39:04.0 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,26.214,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
16,,,,,,node pt name -2,-79.94906147,37.39867271,315.167,Global,0.006,0.008,0.011,0.010,2.134,m,FIX,RTK,2026-05-28 13:39:24.8 UTC-04:00,2026-05-28 13:39:34.8 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,27.953,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
17,,,,,,node pt name -2,-79.94905682,37.39869020,315.343,Global,0.006,0.010,0.010,0.012,2.134,m,FIX,RTK,2026-05-28 13:39:55.4 UTC-04:00,2026-05-28 13:40:05.4 UTC-04:00,51,1.3,1.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,29.712,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
18,,,,,,node pt name -2,-79.94905188,37.39870784,315.499,Global,0.008,0.008,0.015,0.012,2.134,m,FIX,RTK,2026-05-28 13:40:33.0 UTC-04:00,2026-05-28 13:40:43.0 UTC-04:00,50,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,31.545,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
19,,,,,,node pt name -2,-79.94904672,37.39872512,315.569,Global,0.005,0.010,0.011,0.011,2.134,m,FIX,RTK,2026-05-28 13:41:16.2 UTC-04:00,2026-05-28 13:41:26.2 UTC-04:00,51,1.3,1.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,33.329,,WGS 84 / UTM zone 17N,7,6,8,7,0,Reach RS2+,82438197435961DD
20,,,,,,node pt name -2,-79.94904240,37.39874274,315.705,Global,0.008,0.012,0.012,0.015,2.134,m,FIX,RTK,2026-05-28 13:41:53.6 UTC-04:00,2026-05-28 13:42:03.6 UTC-04:00,51,1.6,1.9,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,35.189,,WGS 84 / UTM zone 17N,7,6,8,7,0,Reach RS2+,82438197435961DD
21,,,,,,node pt name -2,-79.94903752,37.39876058,315.789,Global,0.008,0.007,0.014,0.011,2.134,m,FIX,RTK,2026-05-28 13:44:59.2 UTC-04:00,2026-05-28 13:45:09.2 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,37.076,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
22,,,,,,node pt name -2,-79.94903267,37.39877829,316.039,Global,0.015,0.009,0.015,0.017,2.134,m,FIX,RTK,2026-05-28 13:45:21.0 UTC-04:00,2026-05-28 13:45:31.0 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,38.999,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
23,,,,,,node pt name -2,-79.94902829,37.39879543,316.117,Global,0.010,0.013,0.017,0.016,2.134,m,FIX,RTK,2026-05-28 13:45:43.8 UTC-04:00,2026-05-28 13:45:53.8 UTC-04:00,51,1.7,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,40.810,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
24,,,,,,node pt name -2,-79.94902349,37.39881317,316.204,Global,0.014,0.011,0.015,0.018,2.134,m,FIX,RTK,2026-05-28 13:46:07.4 UTC-04:00,2026-05-28 13:46:17.4 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,42.727,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
25,,,,,,node pt name -2,-79.94901839,37.39883052,316.262,Global,0.013,0.007,0.012,0.015,2.134,m,FIX,RTK,2026-05-28 13:46:31.0 UTC-04:00,2026-05-28 13:46:41.0 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,44.621,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
26,,,,,,node pt name -2,-79.94901400,37.39884832,316.244,Global,0.023,0.007,0.017,0.024,2.134,m,FIX,RTK,2026-05-28 13:46:52.0 UTC-04:00,2026-05-28 13:47:02.0 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,46.544,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
27,,,,,,node pt name -2,-79.94900817,37.39886566,316.273,Global,0.008,0.009,0.012,0.012,2.134,m,FIX,RTK,2026-05-28 13:47:13.8 UTC-04:00,2026-05-28 13:47:23.8 UTC-04:00,51,1.7,2.0,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,48.425,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
28,,,,,,node pt name -2,-79.94900342,37.39888356,316.084,Global,0.005,0.006,0.012,0.008,2.134,m,FIX,RTK,2026-05-28 13:47:35.6 UTC-04:00,2026-05-28 13:47:45.6 UTC-04:00,51,1.4,1.6,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,50.380,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
29,,,,,,node pt name -2,-79.94899902,37.39890127,316.015,Global,0.011,0.006,0.013,0.013,2.134,m,FIX,RTK,2026-05-28 13:48:01.4 UTC-04:00,2026-05-28 13:48:11.4 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,52.317,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
30,,,,,,node pt name -2,-79.94899353,37.39891828,316.176,Global,0.010,0.009,0.013,0.013,2.134,m,FIX,RTK,2026-05-28 13:48:27.6 UTC-04:00,2026-05-28 13:48:37.6 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,54.183,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
31,,,,,,node pt name -2,-79.94898833,37.39893629,316.305,Global,0.028,0.008,0.013,0.029,2.134,m,FIX,RTK,2026-05-28 13:48:48.0 UTC-04:00,2026-05-28 13:48:58.0 UTC-04:00,51,1.7,2.0,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,56.184,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
32,,,,,,node pt name -2,-79.94898380,37.39895327,316.435,Global,0.010,0.009,0.016,0.013,2.134,m,FIX,RTK,2026-05-28 13:49:15.2 UTC-04:00,2026-05-28 13:49:25.2 UTC-04:00,51,2.0,2.4,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,58.049,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
33,,,,,,"node pt name -2, moving out of bed into forest floor",-79.94897912,37.39897080,316.870,Global,0.009,0.007,0.015,0.012,2.134,m,FIX,RTK,2026-05-28 13:49:57.8 UTC-04:00,2026-05-28 13:50:07.8 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,60.024,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
34,,,,,,node pt name -2,-79.94897418,37.39898788,317.426,Global,0.017,0.008,0.015,0.019,2.134,m,FIX,RTK,2026-05-28 13:50:30.6 UTC-04:00,2026-05-28 13:50:40.6 UTC-04:00,50,1.5,1.8,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,61.947,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
