Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,593031.476,4139583.156,321.864,water surface,-79.94892826,37.39835667,321.864,Global,0.011,0.011,0.010,0.015,2.134,m,FIX,RTK,2026-05-28 13:26:49.8 UTC-04:00,2026-05-28 13:26:59.8 UTC-04:00,51,1.0,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,6.888,,WGS 84 / UTM zone 17N,8,7,8,3,0,Reach RS2+,82438197435961DD
2,,,593020.465,4139578.518,321.869,water surface,-79.94905322,37.39831597,321.869,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,RTK,2026-05-28 13:27:50.6 UTC-04:00,2026-05-28 13:28:00.6 UTC-04:00,51,1.0,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,8.356,,WGS 84 / UTM zone 17N,8,7,8,5,0,Reach RS2+,82438197435961DD
3,,,593011.860,4139586.875,322.056,node 1,-79.94914938,37.39839215,322.056,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,RTK,2026-05-28 13:29:19.8 UTC-04:00,2026-05-28 13:29:29.8 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.282,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
4,,,593012.268,4139588.819,322.181,node 2,-79.94914452,37.39840964,322.181,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,RTK,2026-05-28 13:30:09.8 UTC-04:00,2026-05-28 13:30:19.8 UTC-04:00,51,1.1,1.3,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.236,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
5,,,593012.678,4139590.760,322.339,node 3,-79.94913965,37.39842709,322.339,Global,0.011,0.011,0.010,0.015,2.134,m,FIX,RTK,2026-05-28 13:30:48.6 UTC-04:00,2026-05-28 13:30:58.6 UTC-04:00,51,1.1,1.3,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.472,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
6,,,593013.113,4139592.735,322.447,node 4,-79.94913449,37.39844484,322.447,Global,0.013,0.011,0.011,0.016,2.134,m,FIX,RTK,2026-05-28 13:31:31.2 UTC-04:00,2026-05-28 13:31:41.2 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,13.990,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
7,,,593013.485,4139594.694,322.599,node pt name +2,-79.94913003,37.39846246,322.599,Global,0.011,0.013,0.010,0.017,2.134,m,FIX,RTK,2026-05-28 13:32:31.6 UTC-04:00,2026-05-28 13:32:41.6 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,14.821,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
8,,,593013.912,4139596.637,322.761,node pt name +2,-79.94912497,37.39847993,322.761,Global,0.010,0.011,0.011,0.015,2.134,m,FIX,RTK,2026-05-28 13:33:07.4 UTC-04:00,2026-05-28 13:33:17.4 UTC-04:00,51,1.1,1.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,15.789,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
9,,,593014.294,4139598.624,322.917,node pt name -2 (7),-79.94912040,37.39849780,322.917,Global,0.013,0.011,0.010,0.017,2.134,m,FIX,RTK,2026-05-28 13:34:57.2 UTC-04:00,2026-05-28 13:35:07.2 UTC-04:00,51,1.3,1.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,17.008,,WGS 84 / UTM zone 17N,8,7,8,6,0,Reach RS2+,82438197435961DD
10,,,593014.684,4139600.545,323.046,node pt name -2,-79.94911575,37.39851507,323.046,Global,0.012,0.011,0.013,0.016,2.134,m,FIX,RTK,2026-05-28 13:35:31.2 UTC-04:00,2026-05-28 13:35:41.2 UTC-04:00,50,1.2,1.4,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,18.313,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
