Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number,Author
1,,,592273.351,4136390.261,325.564,middle of walkway,-79.95789062,37.36965701,325.564,Global,0.010,0.011,0.022,0.015,1.720,m,FIX,NONE,2026-07-09 09:53:57.6 UTC-04:00,2026-07-09 09:54:02.6 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,11.962,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
2,,,592282.062,4136393.323,325.594,middle of walkway,-79.95779187,37.36968373,325.594,Global,0.011,0.011,0.017,0.015,1.720,m,FIX,NONE,2026-07-09 09:54:20.4 UTC-04:00,2026-07-09 09:54:25.4 UTC-04:00,25,1.0,1.2,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,3.100,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
3,,,592299.905,4136400.002,325.572,middle of walkway,-79.95758956,37.36974216,325.572,Global,0.010,0.011,0.016,0.015,1.720,m,FIX,NONE,2026-07-09 09:54:49.6 UTC-04:00,2026-07-09 09:54:54.6 UTC-04:00,26,1.2,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,16.501,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
4,,,592275.000,4136393.174,325.561,right walkway side just off the corner of metal plate holding fence post on water side of walkway,-79.95787163,37.36968310,325.561,Global,0.010,0.010,0.013,0.014,1.720,m,FIX,NONE,2026-07-09 09:57:07.8 UTC-04:00,2026-07-09 09:57:12.8 UTC-04:00,26,1.1,1.2,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,9.337,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
5,,,592293.894,4136414.392,319.454,water surface,-79.95765563,37.36987244,319.454,Global,0.011,0.010,0.018,0.015,1.720,m,FIX,NONE,2026-07-09 09:59:35.8 UTC-04:00,2026-07-09 09:59:40.8 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,21.916,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
6,,,592295.366,4136419.069,319.479,water surface,-79.95763843,37.36991445,319.479,Global,0.010,0.011,0.018,0.015,1.720,m,FIX,NONE,2026-07-09 10:00:08.2 UTC-04:00,2026-07-09 10:00:13.2 UTC-04:00,26,1.2,1.4,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,26.608,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
7,,,592300.915,4136427.905,319.431,water surface,-79.95757467,37.36999353,319.431,Global,0.013,0.014,0.024,0.019,1.720,m,FIX,NONE,2026-07-09 10:00:58.6 UTC-04:00,2026-07-09 10:01:03.6 UTC-04:00,26,1.2,1.4,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,36.819,,NAD83(2011) / UTM zone 17N,9,8,6,5,0,Reach RS2+,82438197435961dd,
8,,,592304.235,4136431.459,319.414,water surface,-79.95753674,37.37002523,319.414,Global,0.013,0.014,0.031,0.019,1.720,m,FIX,NONE,2026-07-09 10:01:32.2 UTC-04:00,2026-07-09 10:01:37.2 UTC-04:00,26,1.2,1.4,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,41.503,,NAD83(2011) / UTM zone 17N,9,8,6,5,0,Reach RS2+,82438197435961dd,
9,,,593172.101,4138088.989,319.452,water surface,-79.94752802,37.38487664,319.452,Global,0.011,0.010,0.013,0.015,1.720,m,FIX,NONE,2026-07-09 10:23:30.0 UTC-04:00,2026-07-09 10:23:35.0 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,1912.701,,NAD83(2011) / UTM zone 17N,9,7,6,6,0,Reach RS2+,82438197435961dd,
10,,,593166.693,4138088.211,319.460,water surface,-79.94758920,37.38487017,319.460,Global,0.013,0.013,0.014,0.018,1.720,m,FIX,NONE,2026-07-09 10:24:05.6 UTC-04:00,2026-07-09 10:24:10.6 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,1909.511,,NAD83(2011) / UTM zone 17N,9,7,6,6,0,Reach RS2+,82438197435961dd,
