Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number,Author
1,,,,,,middle of walkway,-79.95788598,37.3696514,330.735,Global,0.004,0.005,0.008,0.007,1.72,m,FIX,NONE,2026-07-09 09:53:57.6 UTC-04:00,2026-07-09 09:54:02.6 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,11.962,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
2,,,,,,middle of walkway,-79.95778721,37.36967807,330.75,Global,0.005,0.005,0.008,0.007,1.72,m,FIX,NONE,2026-07-09 09:54:20.4 UTC-04:00,2026-07-09 09:54:25.4 UTC-04:00,25,1,1.2,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,3.1,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
3,,,,,,middle of walkway,-79.95758484,37.36973646,330.718,Global,0.005,0.005,0.011,0.007,1.72,m,FIX,NONE,2026-07-09 09:54:49.6 UTC-04:00,2026-07-09 09:54:54.6 UTC-04:00,26,1.2,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,16.501,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
4,,,,,,right walkway side just off the corner of metal plate holding fence post on water side of walkway,-79.95786695,37.3696774,330.697,Global,0.003,0.004,0.008,0.005,1.72,m,FIX,NONE,2026-07-09 09:57:07.8 UTC-04:00,2026-07-09 09:57:12.8 UTC-04:00,26,1.1,1.2,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,9.337,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
5,,,,,,water surface,-79.95765098,37.36986675,324.603,Global,0.005,0.005,0.01,0.007,1.72,m,FIX,NONE,2026-07-09 09:59:35.8 UTC-04:00,2026-07-09 09:59:40.8 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,21.916,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
6,,,,,,water surface,-79.95763378,37.36990871,324.623,Global,0.004,0.009,0.009,0.01,1.72,m,FIX,NONE,2026-07-09 10:00:08.2 UTC-04:00,2026-07-09 10:00:13.2 UTC-04:00,26,1.2,1.4,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,26.608,,NAD83(2011) / UTM zone 17N,9,8,5,6,0,Reach RS2+,82438197435961dd,
7,,,,,,water surface,-79.95757006,37.36998788,324.598,Global,0.009,0.008,0.009,0.012,1.72,m,FIX,NONE,2026-07-09 10:00:58.6 UTC-04:00,2026-07-09 10:01:03.6 UTC-04:00,26,1.2,1.4,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,36.819,,NAD83(2011) / UTM zone 17N,9,8,6,5,0,Reach RS2+,82438197435961dd,
8,,,,,,water surface,-79.95753217,37.37001964,324.606,Global,0.006,0.006,0.01,0.009,1.72,m,FIX,NONE,2026-07-09 10:01:32.2 UTC-04:00,2026-07-09 10:01:37.2 UTC-04:00,26,1.2,1.4,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,41.503,,NAD83(2011) / UTM zone 17N,9,8,6,5,0,Reach RS2+,82438197435961dd,
9,,,,,,water surface,-79.94752332,37.38487101,324.604,Global,0.007,0.005,0.009,0.008,1.72,m,FIX,NONE,2026-07-09 10:23:30.0 UTC-04:00,2026-07-09 10:23:35.0 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,1912.701,,NAD83(2011) / UTM zone 17N,9,7,6,6,0,Reach RS2+,82438197435961dd,
10,,,,,,water surface,-79.94758455,37.3848645,324.6,Global,0.007,0.008,0.009,0.011,1.72,m,FIX,NONE,2026-07-09 10:24:05.6 UTC-04:00,2026-07-09 10:24:10.6 UTC-04:00,26,1.1,1.3,592283.969,4136395.745,327.016,-79.95777003,37.36970538,327.016,1909.511,,NAD83(2011) / UTM zone 17N,9,7,6,6,0,Reach RS2+,82438197435961dd,
